"id","user_id","rating","date","movie_id"
8560278,1455298,5.00,"2005-08-27",1707
15177889,1239904,1.00,"2005-08-19",2913
24559186,486800,5.00,"2005-01-19",4595
29082221,1125601,4.00,"2005-11-30",5320
29152253,1784490,3.00,"2005-08-10",5329
50239879,426015,4.00,"2005-06-18",9051
51866403,2494328,4.00,"2005-10-25",9415
55042178,1209511,2.00,"2005-11-17",10044
63620031,81004,4.00,"2005-09-30",11607
69178523,899620,5.00,"2005-06-12",12530
70050973,2216096,4.00,"2005-12-02",12690
83052202,2099212,4.00,"2005-10-29",14835
91045461,2117831,3.00,"2004-11-27",16215
93211068,2257511,5.00,"2005-10-06",16522
96716774,2577841,4.00,"2005-12-30",17152
100374230,2294145,5.00,"2005-06-03",17762
